Character,Line,text_lemmatized,Season,Episode_Number,Dominant,compound,neg,neu,pos
Michael, All right Jim. Your quarterlies look very good. How are things at the library?,"['jim', 'quarterly', 'look', 'thing', 'library']",1,1,Topic 14,0.4927,0.0,0.803,0.197
Jim," Oh, I told you. I couldn’t close it. So…",['close'],1,1,Topic 7,0.0,0.0,1.0,0.0
Michael," So you’ve come to the master for guidance? Is this what you’re saying, grasshopper?","['master', 'guidance', 'say', 'grasshopper']",1,1,Topic 20,0.0,0.0,1.0,0.0
Michael," All right. Well, let me show you how it’s done.  ",[],1,1,Topic 1,0.2732,0.0,0.811,0.189
Michael," [on the phone] Yes, I’d like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger. [quick cut scene] All right. Done deal. Thank you very much, sir. You’re a gentleman and a scholar. Oh, I’m sorry. OK. I’m sorry. My mistake. [hangs up] That was a woman I was talking to, so… She had a very low voice. Probably a smoker, so… [Clears throat] So that’s the way it’s done.  ","['phone', 'speak', 'office', 'manager', 'michael', 'scott', 'regional', 'manager', 'dunder', 'mifflin', 'paper', 'product', 'want', 'talk', 'manageramanger', 'quick', 'cut', 'scene', 'deal', 'thank', 'sir', 'gentleman', 'scholar', 'sorry', 'sorry', 'mistake', 'hang', 'woman', 'talk', 'low', 'voice', 'probably', 'smoker', 'clear', 'throat', 'way']",1,1,Topic 24,0.6712,0.092,0.773,0.135
Michael," I’ve, uh, I’ve been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here… See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for…  forever. Right, Pam?","['dunder', 'mifflin', 'year', 'regional', 'manager', 'want', 'entire', 'floor', 'kingdom', 'far', 'eye', 'receptionist', 'pam', 'pam', 'pampam', 'pam', 'beesly', 'pam', 'forever', 'pam']",1,1,Topic 1,0.2225,0.0,0.969,0.031
Michael," If you think she’s cute now, you should have seen her a couple of years ago. [growls]","['cute', 'see', 'couple', 'year', 'growl']",1,1,Topic 6,0.4588,0.0,0.842,0.158
Michael," Oh! Pam, this is from Corporate. How many times have I told you? There’s a special filing cabinet for things from corporate.","['pam', 'corporate', 'time', 'there', 'special', 'filing', 'cabinet', 'thing', 'corporate']",1,1,Topic 48,0.4574,0.0,0.875,0.125
Michael, It’s called the wastepaper basket! Look at that! Look at that face.  ,"['call', 'wastepaper', 'basket', 'look', 'look', 'face']",1,1,Topic 16,0.0,0.0,1.0,0.0
Michael," People say I am the best boss. They go, “God we’ve never worked in a place like this before. You’re hilarious.” “And you get the best out of us.” [shows the camera his WORLD’S BEST BOSS mug] I think that pretty much sums it up. I found it at Spencer Gifts.  ","['people', 'best', 'bos', 'god', 'work', 'place', 'hilarious', 'best', 'show', 'camera', 'world', 'best', 'bos', 'mug', 'pretty', 'sum', 'spencer', 'gift']",1,1,Topic 39,0.964,0.0,0.707,0.293
